match_id,match_date,winner,fighter1_name,fighter1_weight,fighter1_height,fighter1_reach,fighter1_age,fighter1_power_factor,fighter1_experience_factor,fighter1_wins,fighter1_losses,fighter1_knockouts,fighter1_final_hp,fighter1_final_sp,fighter2_name,fighter2_weight,fighter2_height,fighter2_reach,fighter2_age,fighter2_power_factor,fighter2_experience_factor,fighter2_wins,fighter2_losses,fighter2_knockouts,fighter2_final_hp,fighter2_final_sp,ko_happened
1,2024-12-26 21:06:44,張三,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,85,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,53,90,True
2,2024-12-26 21:06:57,孫九,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,44,95,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,0,76,True
3,2024-12-26 21:07:18,陳六,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,46,90,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,83,True
4,2024-12-26 21:07:29,趙八,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,50,85,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,80,True
5,2024-12-26 21:07:41,王五,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,0,69,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,42,85,True
6,2024-12-26 21:07:56,趙八,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,70,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,54,85,True
7,2024-12-26 21:08:08,張三,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,76,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,77,90,True
8,2024-12-26 21:08:19,陳六,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,27,75,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,78,True
9,2024-12-26 21:08:32,鄭十二,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,54,85,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,76,True
10,2024-12-26 21:08:43,孫九,趙八,78,177,183,31,1.1270204081632653,0.7058823529411765,12,5,7,0,90,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,77,90,True
11,2024-12-26 21:08:53,王五,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,47,80,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,95,True
12,2024-12-26 21:09:11,陳六,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,0,95,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,2,85,True
13,2024-12-26 21:09:31,陳六,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,0,83,陳六,90,185,190,29,1.3591836734693878,0.7666666666666666,8,2,5,2,85,True
14,2024-12-26 21:09:47,鄭十二,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,78,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,28,93,True
15,2024-12-26 21:10:12,吳十一,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,0,81,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,66,90,True
16,2024-12-26 21:10:28,林七,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,35,73,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,59,True
17,2024-12-26 21:10:48,孫九,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,0,90,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,51,85,True
18,2024-12-26 21:10:59,孫九,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,0,80,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,70,95,True
19,2024-12-26 21:11:07,李四,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,0,85,李四,82,180,185,25,1.2048979591836735,0.7000000000000001,7,3,4,8,93,True
20,2024-12-26 21:11:24,王五,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,68,王五,68,172,176,27,0.9547755102040817,0.7142857142857143,10,4,6,24,83,True
21,2024-12-26 21:11:41,林七,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,52,85,吳十一,74,176,179,30,1.0631836734693878,0.6060606060606061,6,5,3,0,70,True
22,2024-12-26 21:11:52,林七,林七,60,170,175,24,0.8326530612244898,0.7333333333333334,4,1,2,48,90,鄭十二,83,178,182,32,1.2060408163265306,0.6266666666666667,15,10,7,0,76,True
23,2024-12-26 21:12:08,張三,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,11,95,周十,69,171,172,23,0.9631836734693877,0.6,3,2,1,0,88,True
24,2024-12-26 21:12:35,孫九,孫九,86,182,188,26,1.2777142857142858,0.7222222222222222,9,3,5,45,85,張三,75,175,180,28,1.0714285714285714,0.7142857142857143,5,2,3,0,75,True
