match_id,winner,victory_condition,rounds_completed,boxerA_name,boxerA_weight,boxerA_height,boxerA_reach,boxerA_power,boxerA_speed,boxerA_stamina,boxerA_defense,boxerA_chin,boxerA_experience,boxerB_name,boxerB_weight,boxerB_height,boxerB_reach,boxerB_power,boxerB_speed,boxerB_stamina,boxerB_defense,boxerB_chin,boxerB_experience,total_punches_A,total_punches_B,total_hits_A,total_hits_B,total_knockdowns_A,total_knockdowns_B,total_points_A,total_points_B,total_damage_dealt_A,total_damage_dealt_B,total_stamina_used_A,total_stamina_used_B,hit_rate_A,hit_rate_B,final_hp_A,final_hp_B,final_stamina_A,final_stamina_B,total_A_jab,total_B_jab,total_A_cross,total_B_cross,total_A_lead_hook,total_B_lead_hook,total_A_rear_hook,total_B_rear_hook,total_A_lead_uppercut,total_B_lead_uppercut,total_A_rear_uppercut,total_B_rear_uppercut
82904,Boxer_A_1,KO,1,Boxer_A_1,60.1,184,195,91,82,93,78,65,52,Boxer_B_1,91.1,187,173,60,93,69,72,99,76,21,20,6,5,1,0,13,9,109.81177025,77.17477500000001,21.6,14.5,28.57,25.0,12.83,0.0,78.4,85.5,2,7,2,3,2,2,5,4,4,3,6,1
95562,Boxer_A_2,KO,1,Boxer_A_2,98.4,169,184,72,95,81,60,96,4,Boxer_B_2,80.5,186,199,80,62,84,77,92,44,9,8,5,2,0,1,12,5,97.65100800000002,44.57024000000001,8.4,7.0,55.56,25.0,55.43,0.0,91.6,93.0,0,2,3,0,3,2,0,2,0,0,3,2
77536,Boxer_A_3,KO,1,Boxer_A_3,75.9,171,197,93,77,62,81,79,23,Boxer_B_3,83.1,184,182,88,60,78,82,64,57,4,3,4,0,0,0,7,0,103.34048399999999,0.0,2.5,1.4,100.0,0.0,100.0,0.0,97.5,98.6,1,2,1,0,2,1,0,0,0,0,0,0
73110,Boxer_A_4,KO,1,Boxer_A_4,87.0,191,170,98,92,90,76,77,81,Boxer_B_4,74.1,181,185,69,67,79,77,62,40,7,6,4,2,0,0,8,5,115.72486799999999,44.4082275,6.3,4.800000000000001,57.14,33.33,55.59,0.0,93.7,95.2,1,2,1,1,1,0,1,1,3,1,0,1
49153,Boxer_A_5,KO,1,Boxer_A_5,88.5,169,173,78,78,66,87,77,37,Boxer_B_5,96.1,173,198,97,83,73,87,65,55,9,8,5,1,0,0,9,2,103.49147250000003,28.246642500000004,6.3999999999999995,6.099999999999999,55.56,12.5,71.75,0.0,93.6,93.9,2,3,2,1,4,1,0,1,0,0,1,2
10154,Boxer_B_6,KO,1,Boxer_A_6,83.6,179,195,61,100,60,92,69,56,Boxer_B_6,61.8,165,199,92,92,100,77,91,58,11,11,3,4,0,0,9,10,61.43675999999999,119.507632,8.2,9.3,27.27,36.36,0.0,38.56,91.8,90.7,4,3,2,2,1,0,1,2,1,2,2,2
77497,Boxer_B_7,KO,1,Boxer_A_7,97.6,178,198,84,74,79,89,77,3,Boxer_B_7,96.4,167,195,78,84,95,70,71,2,6,6,2,3,1,0,4,10,51.267825,97.887582,5.3999999999999995,6.800000000000001,33.33,50.0,0.0,48.73,94.6,93.2,2,0,0,0,1,1,0,2,1,1,2,2
78941,Boxer_A_8,KO,1,Boxer_A_8,91.7,194,196,98,98,66,68,94,74,Boxer_B_8,68.6,194,171,77,90,74,78,92,52,6,5,4,3,2,1,10,8,118.52492400000001,72.307158,5.3,4.6,66.67,60.0,7.69,-10.0,94.7,95.4,1,0,1,1,1,2,0,1,3,0,0,1
12335,Boxer_A_9,KO,1,Boxer_A_9,95.0,186,189,86,91,94,99,69,9,Boxer_B_9,74.5,176,176,77,60,87,67,75,95,5,4,4,2,0,0,9,3,105.91975000000001,32.2128345,3.8,2.8999999999999995,80.0,50.0,67.79,0.0,96.2,97.1,0,1,2,1,2,1,1,0,0,1,0,0
70040,Boxer_A_10,KO,1,Boxer_A_10,87.8,192,196,99,76,70,62,65,12,Boxer_B_10,64.4,172,197,85,60,74,92,72,61,20,19,4,3,0,1,10,6,116.20540800000003,70.20405000000002,17.9,16.5,20.0,15.79,29.8,-10.0,82.1,83.5,3,1,3,6,5,3,2,5,3,2,4,2
47697,Boxer_A_11,KO,1,Boxer_A_11,63.7,193,196,69,86,74,91,66,36,Boxer_B_11,73.0,173,175,61,68,91,75,62,96,5,4,4,1,1,1,11,3,102.799512,24.522,4.4,4.0,80.0,25.0,65.48,0.0,95.6,96.0,0,0,2,1,1,0,1,2,0,0,1,1
98273,Boxer_A_12,KO,1,Boxer_A_12,80.1,178,190,93,86,66,85,81,66,Boxer_B_12,67.7,166,200,73,65,92,83,74,96,5,4,3,2,0,1,9,5,109.030131,44.8640115,4.3,3.6999999999999997,60.0,50.0,55.14,0.0,95.7,96.3,1,1,0,1,2,0,1,0,0,0,1,2
